"Date","Discharge.m3s","Year"
2018-11-17,1.53477163900585,2018
2018-11-18,1.43283108733757,2018
2018-11-19,1.33089053566928,2018
2018-11-20,1.35354399159557,2018
2018-11-21,1.28275194182593,2018
2018-11-22,0.906138237051426,2018
2018-11-23,0.801366003392355,2018
2018-11-24,0.761722455521355,2018
2018-11-25,0.974098604830283,2018
2018-11-26,1.36487071955871,2018
2018-11-27,5.35187896258499,2018
2018-11-28,4.04930524682356,2018
2018-11-29,2.62496920545835,2018
2018-11-30,1.82926656604757,2018
2018-12-01,1.47813799919014,2018
2018-12-02,2.36445446230607,2018
2018-12-03,3.22811746949571,2018
2018-12-04,2.24552381869307,2018
2018-12-05,1.48380136317171,2018
2018-12-06,1.19780148210235,2018
2018-12-07,1.03356392663678,2018
2018-12-08,0.835346187281783,2018
2018-12-09,0.747564045567427,2018
2018-12-10,0.690930405751712,2018
2018-12-11,0.625801719963641,2018
2018-12-12,0.594653218064998,2018
2018-12-13,0.518197804313784,2018
2018-12-14,0.518197804313784,2018
2018-12-15,0.56067303417557,2018
2018-12-16,0.577663126120284,2018
2018-12-17,0.908969919042212,2018
2018-12-18,0.821187777327855,2018
2018-12-19,0.656950221862284,2018
2018-12-20,0.56067303417557,2018
2018-12-21,1.26576184988121,2018
2018-12-22,2.40692969216785,2018
2018-12-23,1.61405873474785,2018
2018-12-24,1.05338570057228,2018
2018-12-25,0.855167961217283,2018
2018-12-26,0.747564045567427,2018
2018-12-27,0.628633401954427,2018
2018-12-28,0.883484781125141,2018
2018-12-29,1.20629652807471,2018
2018-12-30,0.934455056959283,2018
2018-12-31,0.778712547466069,2018
2019-01-01,1.50079145511642,2019
2019-01-02,1.24594007594571,2019
2019-01-03,1.0109104707105,2019
2019-01-04,0.880653099134355,2019
2019-01-05,0.815524413346284,2019
2019-01-06,0.804197685383141,2019
2019-01-07,0.63996012991757,2019
2019-01-08,0.586158172092641,2019
2019-01-09,1.00241542473814,2019
2019-01-10,0.999583742747354,2019
2019-01-11,0.716415543668784,2019
2019-01-12,0.518197804313784,2019
2019-01-13,0.410593888663927,2019
2019-01-14,0.36245529482057,2019
2019-01-15,0.334138474912713,2019
2019-01-16,0.322811746949571,2019
2019-01-17,0.294494927041713,2019
2019-01-18,0.261081079550442,2019
2019-01-19,0.257399892962421,2019
2019-01-20,0.244090987605728,2019
2019-01-21,0.244940492202964,2019
2019-01-22,0.230498914049957,2019
2019-01-23,0.245223660402042,2019
2019-01-24,1.76980124424107,2019
2019-01-25,3.53960248848213,2019
2019-01-26,1.49229640914407,2019
2019-01-27,0.90330655506064,2019
2019-01-28,0.739068999595069,2019
2019-01-29,0.574831444129498,2019
2019-01-30,0.529524532276927,2019
2019-01-31,0.50120771236907,2019
2019-02-01,0.44174239056257,2019
2019-02-02,0.36245529482057,2019
2019-02-03,0.413425570654713,2019
2019-02-04,0.433247344590213,2019
2019-02-05,0.58049480811107,2019
2019-02-06,0.719247225659569,2019
2019-02-07,0.928791692977712,2019
2019-02-08,1.12700943233271,2019
2019-02-09,0.996752060756569,2019
2019-02-10,0.710752179687212,2019
2019-02-11,0.60031658204657,2019
2019-02-12,0.487049302415142,2019
2019-02-13,0.62013835598207,2019
2019-02-14,0.634296765935998,2019
2019-02-15,0.555009670193998,2019
2019-02-16,0.552177988203213,2019
2019-02-17,0.504039394359856,2019
2019-02-18,0.458732482507284,2019
2019-02-19,0.419088934636285,2019
2019-02-20,0.396435478709999,2019
2019-02-21,0.407762206673142,2019
2019-02-22,0.430415662599427,2019
2019-02-23,0.413425570654713,2019
2019-02-24,0.685267041770141,2019
2019-02-25,1.05621738256307,2019
2019-02-26,0.764554137512141,2019
2019-02-27,0.557841352184784,2019
2019-02-28,0.478554256442784,2019
2019-03-01,0.42192061662707,2019
2019-03-02,0.396435478709999,2019
2019-03-03,0.387940432737642,2019
2019-03-04,0.407762206673142,2019
2019-03-05,0.387940432737642,2019
2019-03-06,0.359623612829785,2019
2019-03-07,0.331306792921928,2019
2019-03-08,0.311485018986428,2019
2019-03-09,0.308653336995642,2019
2019-03-10,0.331306792921928,2019
2019-03-11,0.56067303417557,2019
2019-03-12,0.628633401954427,2019
2019-03-13,0.549346306212427,2019
2019-03-14,0.56067303417557,2019
2019-03-15,1.14399952427743,2019
2019-03-16,2.00766253146707,2019
2019-03-17,1.52910827502428,2019
2019-03-18,1.05338570057228,2019
2019-03-19,0.985425332793426,2019
2019-03-20,0.928791692977712,2019
2019-03-21,0.985425332793426,2019
2019-03-22,1.5262765930335,2019
2019-03-23,1.63388050868335,2019
2019-03-24,1.4469894972915,2019
2019-03-25,1.35354399159557,2019
2019-03-26,1.12700943233271,2019
2019-03-27,0.959940194876355,2019
2019-03-28,0.911801601032998,2019
2019-03-29,1.1298411143235,2019
2019-03-30,1.20063316409314,2019
2019-03-31,1.41300931340207,2019
2019-04-01,1.54043500298742,2019
2019-04-02,1.1694846621945,2019
2019-04-03,1.10152429441564,2019
2019-04-04,1.00241542473814,2019
2019-04-05,0.818356095337069,2019
2019-04-06,0.931623374968497,2019
2019-04-07,0.891979827097498,2019
2019-04-08,1.1694846621945,2019
2019-04-09,1.228949984001,2019
2019-04-10,1.19496980011157,2019
2019-04-11,0.988257014784212,2019
2019-04-12,0.832514505290998,2019
2019-04-13,0.894811509088283,2019
2019-04-14,0.880653099134355,2019
2019-04-15,1.76130619826871,2019
2019-04-16,1.59990032479392,2019
2019-04-17,1.18081139015764,2019
2019-04-18,0.937286738950069,2019
2019-04-19,0.835346187281783,2019
2019-04-20,0.874989735152783,2019
2019-04-21,1.00807878871971,2019
2019-04-22,0.931623374968497,2019
2019-04-23,1.65936564660042,2019
2019-04-24,1.45831622525464,2019
2019-04-25,1.14116784228664,2019
2019-04-26,1.17231634418528,2019
2019-04-27,4.2192061662707,2019
2019-04-28,2.42108810212178,2019
2019-04-29,1.55459341294135,2019
2019-04-30,1.29124698779828,2019
2019-05-01,1.11285102237878,2019
2019-05-02,1.268593531872,2019
2019-05-03,1.17514802617607,2019
2019-05-04,1.28275194182593,2019
2019-05-05,1.06471242853543,2019
2019-05-06,0.908969919042212,2019
2019-05-07,0.781544229456855,2019
2019-05-08,0.716415543668784,2019
2019-05-09,0.603148264037356,2019
2019-05-10,0.583326490101856,2019
2019-05-11,0.62013835598207,2019
2019-05-12,0.529524532276927,2019
2019-05-13,0.506871076350641,2019
2019-05-14,1.04772233659071,2019
2019-05-15,0.866494689180426,2019
2019-05-16,0.693762087742498,2019
2019-05-17,0.67960367778857,2019
2019-05-18,0.648455175889927,2019
2019-05-19,0.526692850286141,2019
2019-05-20,0.470059210470427,2019
2019-05-21,0.399267160700785,2019
2019-05-22,0.328475110931142,2019
2019-05-23,0.291663245050928,2019
2019-05-24,0.365286976811356,2019
2019-05-25,0.305821655004856,2019
2019-05-26,0.255417715568871,2019
2019-05-27,0.230498914049957,2019
2019-05-28,0.308653336995642,2019
2019-05-29,0.696593769733284,2019
2019-05-30,0.467227528479642,2019
2019-05-31,0.385108750746856,2019
2019-06-01,0.302989973014071,2019
2019-06-02,0.265045434337542,2019
2019-06-03,0.317148382967999,2019
2019-06-04,0.244657324003885,2019
2019-06-05,0.204164271535649,2019
2019-06-06,2.37011782628764,2019
2019-06-07,1.31106876173378,2019
2019-06-08,0.773049183484498,2019
2019-06-09,0.591821536074213,2019
2019-06-10,0.484217620424356,2019
2019-06-11,0.722078907650355,2019
2019-06-12,0.594653218064998,2019
2019-06-13,0.523861168295356,2019
2019-06-14,0.62013835598207,2019
2019-06-15,0.44174239056257,2019
2019-06-16,0.385108750746856,2019
2019-06-17,0.404930524682356,2019
2019-06-18,0.300158291023285,2019
2019-06-19,0.242391978411257,2019
2019-06-20,0.259665238555049,2019
2019-06-21,0.348296884866642,2019
2019-06-22,0.272974143911742,2019
2019-06-23,0.195102889165135,2019
2019-06-24,0.156308845891371,2019
2019-06-25,0.139885090344814,2019
2019-06-26,0.202748430540257,2019
2019-06-27,0.174148442433321,2019
2019-06-28,0.147247463520857,2019
2019-06-29,0.132522717168771,2019
2019-06-30,0.413425570654713,2019
2019-07-01,0.285999881069356,2019
2019-07-02,0.208128626322749,2019
2019-07-03,0.162821714470178,2019
2019-07-04,0.140168258543892,2019
2019-07-05,0.12091282100655,2019
2019-07-06,0.105904906455385,2019
2019-07-07,0.1149662888259,2019
2019-07-08,0.0999583742747354,2019
2019-07-09,0.132239548969693,2019
2019-07-10,0.203597935137492,2019
2019-07-11,0.205863280730121,2019
2019-07-12,0.605979946028141,2019
2019-07-13,1.14399952427743,2019
2019-07-14,0.453069118525713,2019
2019-07-15,0.308653336995642,2019
2019-07-16,0.243524651207571,2019
2019-07-17,0.212376149308928,2019
2019-07-18,0.192271207174349,2019
2019-07-19,0.162821714470178,2019
2019-07-20,0.144132613330992,2019
2019-07-21,0.127425689585357,2019
2019-07-22,0.129691035177985,2019
2019-07-23,1.13550447830507,2019
2019-07-24,0.591821536074213,2019
2019-07-25,0.359623612829785,2019
2019-07-26,0.265894938934778,2019
2019-07-27,0.206995953526435,2019
2019-07-28,0.17244943323885,2019
2019-07-29,0.148096968118092,2019
