Sample,Date,Time,Site,Location,CH4_InjVol.mL,CH4_Range,CH4_IntArea,CH4.mM,CH4.uatm,N2O_IntArea,N2O.mM,N2O.uatm
MR,10/19/2016,15:30,ID,UP_2,10,10,852,0.697557628,16.62807078,NA,NA,NA
PD,10/19/2016,9:55,PD,OUT,10,10,681,0.557554865,13.29074671,NA,NA,NA
PD_UP,10/19/2016,11:00,PD,UP_1,10,10,968,0.792530263,18.89198651,NA,NA,NA
SMD_DOWN,10/19/2016,13:45,SMD,DOWN,10,10,634,0.519074573,12.37347051,NA,NA,NA
SMD_OUT,10/19/2016,13:10,SMD,OUT,10,10,1417,1.160139859,27.65490175,NA,NA,NA
SMD_SIDE,10/19/2016,12:45,SMD,SIDE,10,100,277,2.116650326,50.45577598,NA,NA,NA
SMD_UP,10/19/2016,12:15,SMD,UP,10,10,827,0.677089388,16.1401579,NA,NA,NA
WB,10/19/2016,10:45,PD,UP_2,10,100,557,4.256224664,101.4580044,NA,NA,NA
CC,11/2/2016,9:50,CCBP,DOWN,10,1,5728,0.485005764,11.58125233,NA,NA,NA
CCBP_OUT,11/2/2016,9:35,CCBP,OUT,10,10,1000,0.84672794,20.21866677,NA,NA,NA
CCBP_SIDE,11/2/2016,9:25,CCBP,SIDE,10,10,1021,0.864509226,20.64325877,NA,NA,NA
CCBP_UP_1,11/2/2016,9:00,CCBP,UP_1,10,10,898,0.76036169,18.15636276,NA,NA,NA
CCBP_UP_2,11/2/2016,9:05,CCBP,UP_2,10,1,3303,0.279674238,6.678225635,NA,NA,NA
CCBP_UP_3,11/2/2016,9:15,CCBP,UP_3,10,1,1607,0.13606918,3.24913975,NA,NA,NA
ID,11/2/2016,14:30,ID,OUT,10,1,5899,0.499484812,11.92699153,NA,NA,NA
ID_UP,11/2/2016,13:55,ID,UP_1,10,1,4070,0.344618271,8.228997376,NA,NA,NA
MR,11/2/2016,14:40,ID,UP_2,10,10,679,0.574928271,13.72847474,NA,NA,NA
PD,11/2/2016,10:30,PD,OUT,10,1,5286,0.447580389,10.68758726,NA,NA,NA
PD_UP,11/2/2016,11:15,PD,UP_1,10,10,1012,0.856888675,20.46129077,NA,NA,NA
SMD_DOWN,11/2/2016,13:05,SMD,DOWN,10,1,4617,0.39093429,9.334958449,NA,NA,NA
SMD_OUT,11/2/2016,12:45,SMD,OUT,10,10,966,0.81793919,19.5312321,NA,NA,NA
SMD_SIDE,11/2/2016,12:10,SMD,SIDE,10,100,1467,11.74250554,280.39444,NA,NA,NA
SMD_UP,11/2/2016,11:45,SMD,UP,10,1,4664,0.394913911,9.429986182,NA,NA,NA
WB,11/2/2016,11:00,PD,UP_2,10,10,2826,2.392853157,57.1379523,NA,NA,NA
CC,11/16/2016,11:00,CCBP,DOWN,10,1,3798,0.315024614,7.527512643,NA,NA,NA
CCBP_OUT,11/16/2016,9:35,CCBP,OUT,10,1,8593,0.712745262,17.0310469,NA,NA,NA
CCBP_SIDE,11/16/2016,10:00,CCBP,SIDE,10,1,3824,0.31718118,7.579043798,NA,NA,NA
CCBP_UP_1,11/16/2016,10:35,CCBP,UP_1,10,1,6053,0.502065294,11.9968494,NA,NA,NA
CCBP_UP_2,11/16/2016,10:25,CCBP,UP_2,10,1,5196,0.430981541,10.29830324,NA,NA,NA
CCBP_UP_3,11/16/2016,10:10,CCBP,UP_3,10,1,2240,0.185796507,4.439607246,NA,NA,NA
ID,11/16/2016,15:45,ID,OUT,10,10,1213,1.006121265,24.04126602,NA,NA,NA
ID_UP,11/16/2016,15:20,ID,UP_1,10,10,1103,0.914881909,21.86110175,NA,NA,NA
MR,11/16/2016,16:00,ID,UP_2,10,10,1088,0.902440179,21.56380662,NA,NA,NA
PD,11/16/2016,11:30,PD,OUT,10,10,1580,1.310528936,31.31508682,NA,NA,NA
PD_UP,11/16/2016,11:55,PD,UP_1,10,10,1104,0.915711358,21.88092143,NA,NA,NA
SMD_DOWN,11/16/2016,14:25,SMD,DOWN,10,1,6001,0.497752161,11.89378709,NA,NA,NA
SMD_OUT,11/16/2016,13:55,SMD,OUT,10,10,1358,1.126391326,26.91511893,NA,NA,NA
SMD_SIDE,11/16/2016,13:30,SMD,SIDE,10,100,2009,15.523639,370.9373291,NA,NA,NA
SMD_UP,11/16/2016,12:45,SMD,UP,10,1,9371,0.777276371,18.57301763,NA,NA,NA
WB,11/16/2016,11:45,PD,UP_2,10,10,1736,1.439922932,34.40695616,NA,NA,NA
CC,12/14/2016,9:55,CCBP,DOWN,10,1,3451,0.291134595,7.059386108,NA,NA,NA
CCBP_OUT,12/14/2016,8:50,CCBP,OUT,10,10,1118,0.94317148,22.86987444,NA,NA,NA
CCBP_SIDE,12/14/2016,9:05,CCBP,SIDE,10,1,10924,0.921574709,22.34619932,NA,NA,NA
CCBP_UP_1,12/14/2016,9:40,CCBP,UP_1,10,1,7647,0.645119169,15.64274864,NA,NA,NA
CCBP_UP_2,12/14/2016,9:25,CCBP,UP_2,10,1,8380,0.706956798,17.1421778,NA,NA,NA
CCBP_UP_3,12/14/2016,9:15,CCBP,UP_3,10,10,1209,1.019941252,24.73137585,NA,NA,NA
ID,12/14/2016,14:20,ID,OUT,10,1,8342,0.703751027,17.06444477,NA,NA,NA
ID_UP,12/14/2016,14:00,ID,UP_1,10,1,5352,0.451507492,10.948083,NA,NA,NA
MR,12/14/2016,14:35,ID,UP_2,10,1,7736,0.652627421,15.82480757,NA,NA,NA
PD,12/14/2016,10:30,PD,OUT,10,1,4088,0.344873436,8.362437093,NA,NA,NA
PD_UP,12/14/2016,11:00,PD,UP_1,10,1,3367,0.284048155,6.887555209,NA,NA,NA
SMD_DOWN,12/14/2016,13:05,SMD,DOWN,10,1,7234,0.610277503,14.79791339,NA,NA,NA
SMD_OUT,12/14/2016,12:45,SMD,OUT,10,10,1301,1.097554647,26.61333331,NA,NA,NA
SMD_SIDE,12/14/2016,12:35,SMD,SIDE,10,100,991,7.880188563,191.077579,NA,NA,NA
SMD_UP,12/14/2016,11:45,SMD,UP,10,1,5788,0.488289492,11.8399672,NA,NA,NA
WB,12/14/2016,10:45,PD,UP_2,10,10,1704,1.437535064,34.85712526,NA,NA,NA
CC,6/21/2017,11:15,CCBP,DOWN,10,10,2698,2.235482722,53.47188716,19543.5,0.020470273,0.495520111
CCBP_OUT,6/21/2017,9:50,CCBP,OUT,10,10,2965,2.456710997,58.76358244,18182,0.018546174,0.448943811
CCBP_SIDE,6/21/2017,10:20,CCBP,SIDE,10,10,6738,5.582906812,133.5409843,17730,0.017907399,0.433481094
CCBP_UP_1,6/21/2017,11:00,CCBP,UP_1,10,10,4061,3.364824067,80.48529791,15924,0.015355124,0.371698649
CCBP_UP_2,6/21/2017,10:50,CCBP,UP_2,10,100,6649,50.43572553,1206.403162,14466,0.01329465,0.321821127
CCBP_UP_3,6/21/2017,10:40,CCBP,UP_3,10,100,16347,123.9995195,2966.020829,15192,0.014320647,0.346657259
ID,6/21/2017,17:00,ID,OUT,10,10,1630,1.350569621,32.30510603,19820,0.020861028,0.504979052
