Sample,Site,Location,Date,Time,CArea.km2,Cond.uScm,Sp_Cond.uScm,Temp.C,DO.mgL,DO.pct,pH,TSS.mgL,Chl.mgL,UNH_ID,PO4.ugL,NH4.ugL,Cl.mgL,NO3.mgL,SO4.mgL,Br.mgL,DOC.mgL,TDN.mgL,DIN.mgL,DON.mgL,TDP.mgL,Q_est.m3s,CH4.mM,CH4.uatm,N2O.mM,N2O.uatm,CO2.ppm,Gas_Flag,AFDM.pct,AFDM.mgL,Ash.pct,Ash.mgL,PC.mgL,PN.mgL,TN.mgL,NAr_sat,NAr_calc.A,NAr_calc.B,NAr_calc.C,NArcalc.mean,N2.mM.A,N2.mM.B,N2.mM.C,N2.mM.mean,Notes
Sidetrib_IN,MCLN,UP_3,6/24/2015,13:55,1.735233,112.5,125.4,19.9,5.03,55.2,NA,7.333333333,NA,136977,10.858,61.62540054,10.9545,0.1042,1.9416,0.0092,4.451465547,0.358431515,0.165825401,0.192606115,NA,0.012921146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCLN_IN,MCLN,UP_1,6/24/2015,14:10,480.037965,163.3,169.5,23.1,9.51,111.3,NA,1.5,NA,136978,8.793,20.31360054,32.7636,0.1794,1.4737,0.014,5.944051221,0.467869501,0.199713601,0.268155901,NA,3.574528895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMPD,LMPD,OUT,6/24/2015,14:25,475.3,153.3,162.1,22.1,8.16,94.3,NA,1.222222222,0.00251825,136969,45.738,33.59349823,30.9109,0.1412,1.3499,0.0089,6.088494996,0.426330043,0.174793498,0.251536545,NA,3.483069821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMPD_IN,LMPD,UP,6/24/2015,14:50,471.2,152.9,158.6,23.2,8.87,103.4,NA,1.5,NA,136982,8.656,23.74480057,31.9234,0.1446,1.2089,0.0078,5.90392795,0.413585476,0.168344801,0.245240676,NA,3.453024405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MR,ID,UP_2,6/26/2015,10:00,43.3,363,386.6,20.5,2.88,31.9,NA,2.166666667,NA,136965,15.365,16.0802002,61.5013,0.0426,0.6169,0.0126,6.012833971,0.355386738,0.0586802,0.296706538,NA,0.321915004,2.017656774,49.08938856,NA,NA,NA,3,NA,NA,NA,NA,1.664733333,0.148866667,0.504253405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,ID,OUT,6/26/2015,10:25,387.5,392.8,415.1,20.8,6.83,76.1,NA,1.75,0.001439,136961,15.865,16.16760063,96.2436,0.0531,1.0819,0.0409,8.76299759,0.466999565,0.069267601,0.397731964,NA,2.880879073,0.844841671,20.55491378,NA,NA,NA,3,NA,NA,NA,NA,1.14795,0.10495,0.571949565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID_UP,ID,UP_1,6/26/2015,10:55,337.8,393.6,420,21.7,7.34,83.4,NA,2.5,NA,136963,13.631,12.49279976,97.6501,0.0388,1.014,0.0515,8.260883515,0.413194005,0.0512928,0.361901205,NA,2.511383099,0.587119211,14.284552,NA,NA,NA,3,NA,NA,NA,NA,1.33915,0.1228,0.535994005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT,SMD,OUT,6/26/2015,11:40,113.8,458.8,485.9,22.2,4.09,46.9,NA,1.833333333,0.003357667,136957,17.784,44.33190155,122.7216,0.0915,1.2674,0.0526,12.23079457,0.626632876,0.135831902,0.490800974,NA,1.314145219,1.430334231,34.79988953,NA,NA,NA,3,100,1.833333333,0,0,1.445466667,0.126666667,0.753299542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_DOWN,SMD,DOWN,6/26/2015,11:45,114.9955,456.7,485.8,21.8,8.09,92.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.941322386,22.90227999,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP,SMD,UP,6/26/2015,12:15,111.9,464.8,493,22.2,5.13,58.8,NA,3,NA,136959,14.824,33.62129974,125.3203,0.0673,1.2824,0.0564,11.7722429,0.587050774,0.1009213,0.486129474,NA,1.292204306,0.963282169,23.43655934,NA,NA,NA,3,90.12155453,2.703646636,9.878445472,0.296353364,1.817933333,0.155133333,0.742184107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD,PD,OUT,6/26/2015,13:40,63.9,288.2,298.2,23.1,5.8,67.9,NA,2.714285714,0.003357667,136953,8.248,54.33679962,60.2365,0.1111,1.0723,0.0345,8.017851132,0.503971858,0.1654368,0.338535058,NA,0.393642535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.362171429,0.130114286,0.634086143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD_Larkin,PD,NA,6/26/2015,13:50,NA,228.6,239.9,22.5,7.03,81,NA,3.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34744036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WB,PD,UP_2,6/26/2015,13:50,6,570,661,18.5,7.21,76.5,NA,2.333333333,NA,136979,4.238,51.75159836,174.1384,1.3851,3.6353,0.038,4.114430073,1.545720574,1.436851598,0.108868975,NA,0.03696174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17105,0.09935,1.645070574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD_UP,PD,UP_1,6/26/2015,14:10,55.7,224.1,234.5,22.6,8.71,100.7,NA,2.833333333,NA,136955,20.201,34.46820068,44.2847,0.0774,0.9917,0.0288,6.668562854,0.441988897,0.111868201,0.330120696,NA,0.3398016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.778333333,0.169666667,0.611655563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH_OUT,LH,OUT,7/7/2015,9:40,1.113657,388.4,436.1,19.4,9.99,110.7,NA,1.75,0.0035975,136989,3.375,2.5,85.3266,0.0823,2.2442,0.0242,4.444587272,0.292229363,0.0848,0.207429363,NA,0.012074743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH_IN,LH,UP,7/7/2015,10:00,1.061859,346.1,401.1,17.8,9.13,96.3,NA,3.333333333,NA,136984,15.365,36.91350174,86.0487,0.365,2.4292,0.0336,3.918399235,0.543988927,0.401913502,0.142075426,NA,0.011513127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH_EDGE,LH,NA,7/7/2015,10:15,0.647475,326.7,378.5,17.9,8.54,90.3,NA,2.25,NA,136992,13.195,44.95029831,78.548,0.2345,2.1863,0.0188,3.798029423,0.419153069,0.279450298,0.13970277,NA,0.007020199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTEB,BRDS,UP_2,7/7/2015,10:30,2.51,768,842,20.4,8.97,99.5,NA,3.80952381,NA,136990,19.501,30.06030083,223.17,0.4635,4.1793,0.03,5.757191417,0.751903702,0.493560301,0.258343402,NA,0.027214487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRDS,BRDS,UP_1,7/7/2015,11:00,4.9014,312.4,339.1,20.9,8.63,96.8,NA,3.875,NA,136988,9.448,17.95669937,78.8051,0.2606,2.0784,0.0263,4.966189793,0.507451603,0.278556699,0.228894904,NA,0.053143062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRDS_OUT,BRDS,OUT,7/7/2015,11:15,8.32,445.6,490.9,20.5,4.36,47.8,NA,1.5,0.004317,136996,5.738,9.046099663,119.6751,0.091,2.2983,0.0229,6.417505817,0.406451999,0.1000461,0.306405899,NA,0.090208976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMPD,OMPD,OUT,7/7/2015,11:30,50.59,256.7,275.7,21.4,6.77,77.4,NA,5.625,0.003289143,136991,9.425,30.3390007,45.8344,0.1713,1.3377,0.0185,7.723231686,0.499187208,0.201639001,0.297548207,NA,0.548518282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
