"Date","Discharge.cfs","Site","Discharge.m3s","Discharge.ls","Date2"
2015-10-19,1.89,"SMD",0.0535187896258499,53.5187896258499,"20151019"
2015-10-20,1.98,"SMD",0.056067303417557,56.067303417557,"20151020"
2015-10-21,2.32,"SMD",0.0656950221862284,65.6950221862284,"20151021"
2015-10-22,2.32,"SMD",0.0656950221862284,65.6950221862284,"20151022"
2015-10-23,2.55,"SMD",0.0722078907650355,72.2078907650355,"20151023"
2015-10-24,2.47,"SMD",0.069942545172407,69.942545172407,"20151024"
2015-10-25,2.84,"SMD",0.0804197685383141,80.4197685383141,"20151025"
2015-10-26,2.22,"SMD",0.0628633401954427,62.8633401954427,"20151026"
2015-10-27,1.75,"SMD",0.0495544348387499,49.5544348387499,"20151027"
2015-10-28,4.01,"SMD",0.113550447830507,113.550447830507,"20151028"
2015-10-29,8.48,"SMD",0.240126632818628,240.126632818628,"20151029"
2015-10-30,18.3,"SMD",0.518197804313784,518.197804313784,"20151030"
2015-10-31,30.4,"SMD",0.860831325198855,860.831325198855,"20151031"
2015-11-01,38.3,"SMD",1.08453420247093,1084.53420247093,"20151101"
2015-11-02,42.6,"SMD",1.20629652807471,1206.29652807471,"20151102"
2015-11-03,37.4,"SMD",1.05904906455385,1059.04906455385,"20151103"
2015-11-04,23.6,"SMD",0.668276949825427,668.276949825427,"20151104"
2015-11-05,19.3,"SMD",0.546514624221641,546.514624221641,"20151105"
2015-11-06,14,"SMD",0.396435478709999,396.435478709999,"20151106"
2015-11-07,10.1,"SMD",0.285999881069356,285.999881069356,"20151107"
2015-11-08,7.93,"SMD",0.224552381869307,224.552381869307,"20151108"
2015-11-09,8.09,"SMD",0.229083073054564,229.083073054564,"20151109"
2015-11-10,9.76,"SMD",0.276372162300685,276.372162300685,"20151110"
2015-11-11,9.15,"SMD",0.259098902156892,259.098902156892,"20151111"
2015-11-12,11,"SMD",0.311485018986428,311.485018986428,"20151112"
2015-11-13,12.8,"SMD",0.36245529482057,362.45529482057,"20151113"
2015-11-14,16.5,"SMD",0.467227528479642,467.227528479642,"20151114"
2015-11-15,20.7,"SMD",0.586158172092641,586.158172092641,"20151115"
2015-11-16,24.3,"SMD",0.688098723760927,688.098723760927,"20151116"
2015-11-17,27.4,"SMD",0.775880865475284,775.880865475284,"20151117"
2015-11-18,25.6,"SMD",0.724910589641141,724.910589641141,"20151118"
2015-11-19,21.9,"SMD",0.62013835598207,620.13835598207,"20151119"
2015-11-20,34.6,"SMD",0.979761968811855,979.761968811855,"20151120"
2015-11-21,41.6,"SMD",1.17797970816685,1177.97970816685,"20151121"
2015-11-22,46.8,"SMD",1.32522717168771,1325.22717168771,"20151122"
2015-11-23,56,"SMD",1.58574191484,1585.74191484,"20151123"
