Sample,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600.lower,K600.upper
SMD_OUT,10/3/18,0.391511061,-1.974115231,2.657255316,-7.441811439,-12.89183978,-2.996871003,0.670815401,0.476069584,0.914639677
SMD_OUT,10/4/18,-1.606230419,-3.924100073,0.680298851,-6.131460149,-10.66845334,-1.643162927,0.663034595,0.481518788,0.877337835
SMD_OUT,10/5/18,-0.909048758,-3.119197985,0.990035471,-8.237363839,-12.70458679,-4.132557682,0.655330029,0.477398657,0.876549468
SMD_OUT,10/6/18,0.87528503,-1.203078843,2.873332006,-6.884987132,-10.8763687,-2.533389582,0.648192116,0.474503667,0.846293532
SMD_OUT,10/7/18,0.304415904,-1.385372825,2.194769451,-8.219076898,-11.88686303,-4.274036761,0.632080823,0.458129485,0.810679118
SMD_OUT,10/8/18,0.602093663,-1.463037312,2.553413648,-8.33160464,-12.41182565,-4.129407683,0.628453023,0.459736592,0.80207498
SMD_OUT,10/9/18,1.870071868,-0.264323375,4.228042823,-9.599299156,-14.01947462,-5.289771959,0.616692143,0.438058773,0.784827698
SMD_OUT,10/10/18,2.541744577,0.489219268,4.714387652,-11.77420329,-16.24021615,-7.321899638,0.605352064,0.40843675,0.791925479
SMD_OUT,10/11/18,0.134480547,-1.978886417,2.304012228,-6.304719663,-10.95672025,-2.267272989,0.622404297,0.441162667,0.789842868
SMD_OUT,10/12/18,3.777068801,2.256331933,5.426885864,-14.57640486,-19.48118161,-9.958357864,0.685017708,0.456616609,0.946239058
SMD_OUT,10/13/18,0.717243865,-1.377555165,2.58351065,-8.874424198,-14.08352386,-4.118988572,0.679236999,0.469505597,0.949202861
SMD_OUT,10/14/18,1.692057281,-0.351459487,3.628641511,-5.97148976,-10.84745526,-1.538587692,0.691561943,0.480814591,0.949819767
SMD_OUT,10/15/18,3.411807702,1.316185135,5.654199128,-5.239695742,-9.136332978,-1.062486488,0.67856105,0.466604235,0.934376926
SMD_OUT,10/16/18,0.796114609,-1.568809459,2.914216122,-5.965838904,-10.84853892,-2.025530023,0.671671192,0.478175936,0.900729755
SMD_OUT,10/18/18,0.894859736,-1.140428884,3.001018842,-3.841689187,-7.805181138,-0.076904638,0.647559394,0.484315775,0.838919536
SMD_OUT,10/19/18,0.948120545,-1.320567842,2.962143262,-3.593282399,-7.457481372,0.080706745,0.634729218,0.472959258,0.821491023
SMD_OUT,10/20/18,0.81553936,-1.333497771,2.781034795,-5.43121828,-9.531836835,-1.476609323,0.625972578,0.446069892,0.799043872
SMD_OUT,10/21/18,1.116710795,-0.643549829,3.060358943,-4.808359715,-8.433624433,-1.087196675,0.615683833,0.428536674,0.790765083
SMD_OUT,10/22/18,0.549593342,-1.415617231,2.739376863,-3.332672814,-7.212228175,0.981660922,0.603562709,0.409315011,0.803927803
SMD_OUT,10/23/18,0.483856229,-1.657082033,2.519528788,-3.659523091,-7.471266325,0.368262942,0.602054297,0.38574249,0.805372133
SMD_OUT,10/24/18,0.560693841,-1.652465028,2.860731048,-4.976174719,-8.801505962,-1.109879121,0.606146942,0.412956223,0.79500458
SMD_OUT,10/25/18,1.003687979,-0.886029391,3.014033324,-4.020611919,-7.976705503,-0.045870837,0.60421041,0.418314418,0.796731227
SMD_OUT,10/26/18,0.438866039,-1.452457834,2.375915121,-3.330749492,-7.111250187,0.393907291,0.596276475,0.38882993,0.806294425
SMD_OUT,10/27/18,2.126047344,-0.096835645,4.058737762,-5.05962709,-8.766303577,-1.074081542,0.622696764,0.443689559,0.803277341
SMD_OUT,10/28/18,-0.138159515,-2.261151847,1.851128609,-6.327585416,-10.41093105,-2.556871712,0.691033217,0.475230451,0.96553798
SMD_OUT,10/29/18,1.191010412,-1.680221148,2.998018017,-5.809058999,-9.936810981,0.279845623,0.771680031,0.524917387,1.050931643
SMD_OUT,10/30/18,0.310389514,-1.882835345,2.438420624,-4.487045138,-9.173805166,-0.570242686,0.825999995,0.573585293,1.100247853
SMD_OUT,10/31/18,0.591106964,-1.389467341,2.428430304,-3.930939299,-8.055728126,-0.398540272,0.788983234,0.539965702,1.057089902
SMD_OUT,11/1/18,0.457313888,-1.824374247,2.838057282,-5.526167785,-10.0001121,-1.609533143,0.751639559,0.518601114,1.014689668
SMD_OUT,11/2/18,0.334654763,-2.038699148,2.244750248,-6.524770923,-10.45341976,-2.274526344,0.768179906,0.534775235,1.033412033
SMD_OUT,11/4/18,0.328869993,-1.495552599,2.176515663,-8.976448308,-14.67914108,-3.210953482,1.433336649,0.821986052,2.083033344
SMD_OUT,11/5/18,0.370746046,-2.041156077,2.71986901,-8.077167861,-13.39100273,-2.834138638,1.372520801,0.816573859,1.969451782
SMD_OUT,11/6/18,0.304918819,-1.646749757,2.179163142,-9.637982446,-14.88226198,-4.520515843,1.449068213,0.826527969,2.123362693
SMD_OUT,11/7/18,0.119835569,-1.500993264,1.995384124,-9.891506475,-15.51667451,-4.432886652,1.489516172,0.844174636,2.243783557
SMD_OUT,11/8/18,0.659349259,-1.216699185,2.336118335,-8.409859613,-13.68423406,-3.395459046,1.385651282,0.809758359,2.000714002
SMD_OUT,11/9/18,-0.160016163,-2.027954534,1.632679854,-5.339598693,-9.851383676,-0.487088148,1.311373299,0.781183458,1.854573301
