"","Date","Discharge.m3s","Site"
"299",2015-10-26,0.000707703364432148,"CCBP"
"300",2015-10-27,0.000809587889538453,"CCBP"
"301",2015-10-28,0.000921983371874496,"CCBP"
"302",2015-10-29,0.00353417200388474,"CCBP"
"303",2015-10-30,0.00308519228230208,"CCBP"
"304",2015-10-31,0.0026347954900485,"CCBP"
"305",2015-11-01,0.00283609160528006,"CCBP"
"306",2015-11-02,0.00244886955908365,"CCBP"
"307",2015-11-03,0.0024455500632178,"CCBP"
"308",2015-11-04,0.00254058155236162,"CCBP"
"309",2015-11-05,0.0020851395931238,"CCBP"
"310",2015-11-06,0.00195966786696927,"CCBP"
"311",2015-11-07,0.00214992662528814,"CCBP"
"312",2015-11-08,0.00226562493449534,"CCBP"
"313",2015-11-09,0.0021389937453325,"CCBP"
"314",2015-11-10,0.00203447076929731,"CCBP"
"315",2015-11-11,0.00247971823127347,"CCBP"
"316",2015-11-12,0.00236385122467051,"CCBP"
"317",2015-11-13,0.0023515988235102,"CCBP"
"318",2015-11-14,0.00232483991605392,"CCBP"
"319",2015-11-15,0.00238371787921764,"CCBP"
"320",2015-11-16,0.00233003722794295,"CCBP"
"321",2015-11-17,0.00235621083860168,"CCBP"
"322",2015-11-18,0.00258798501870771,"CCBP"
"323",2015-11-19,0.00235505583858227,"CCBP"
"324",2015-11-20,0.0128663333818734,"CCBP"
"325",2015-11-21,0.0124654070650788,"CCBP"
"326",2015-11-22,0.00806249330078243,"CCBP"
"327",2015-11-23,0.00798359914918556,"CCBP"
"328",2015-11-24,0.00574370813602883,"CCBP"
"329",2015-11-25,0.00534146482565862,"CCBP"
"330",2015-11-26,0.00534549915966672,"CCBP"
"331",2015-11-27,0.00512015671246267,"CCBP"
"332",2015-11-28,0.00858777386545781,"CCBP"
"333",2015-11-29,0.011346569037434,"CCBP"
"334",2015-11-30,0.00796199006833947,"CCBP"
"335",2015-12-01,0.00739061469640527,"CCBP"
"336",2015-12-02,0.0101795896532911,"CCBP"
"337",2015-12-03,0.0152156884373547,"CCBP"
"338",2015-12-04,0.0134467857910149,"CCBP"
"339",2015-12-05,0.011724284946037,"CCBP"
"340",2015-12-06,0.0106936218490386,"CCBP"
"341",2015-12-07,0.00804628985223704,"CCBP"
"342",2015-12-08,0.00715602763289047,"CCBP"
"343",2015-12-09,0.00585230256695543,"CCBP"
"344",2015-12-10,0.00546612935975104,"CCBP"
"345",2015-12-11,0.00440646611863356,"CCBP"
"346",2015-12-12,0.00449582802992173,"CCBP"
"347",2015-12-13,0.00443470504807957,"CCBP"
"348",2015-12-14,0.00396136486668314,"CCBP"
"349",2015-12-15,0.0164732338834062,"CCBP"
"350",2015-12-16,0.0151041659337507,"CCBP"
"351",2015-12-17,0.0163593208687879,"CCBP"
"352",2015-12-18,0.02552652754416,"CCBP"
"353",2015-12-19,0.0179416695289742,"CCBP"
"354",2015-12-20,0.0153132826612972,"CCBP"
"355",2015-12-21,0.0139768019276258,"CCBP"
"356",2015-12-22,0.0171572010218552,"CCBP"
