Date,Time,Discharge.cfs,DIN_UP_kg.day,DON_UP_kg.day,PN_UP_kg.day,DIN_OUT_kg.day,DON_OUT_kg.day,PN_OUT_kg.day,DIN_OUT_Scen_kg.day,DON_OUT_Scen_kg.day,PN_OUT_Scen_kg.day
20151105,1200,19.30,10.63,18.39,3.42,7.26,19.55,3.44,6.61,19.22,3.73
20151106,1200,14.00,7.16,13.24,2.56,4.55,14.11,2.58,4.31,13.91,2.81
20151107,1200,10.10,4.78,9.47,1.91,2.83,10.14,1.92,2.79,10.01,2.11
20151108,1200,7.90,3.53,7.37,1.53,1.98,7.90,1.54,2.01,7.82,1.70
20151109,1200,8.10,3.64,7.56,1.57,2.05,8.10,1.58,2.08,8.02,1.74
20151110,1200,9.80,4.61,9.19,1.86,2.71,9.83,1.87,2.68,9.71,2.06
20151111,1200,9.20,4.26,8.61,1.76,2.47,9.22,1.77,2.47,9.11,1.94
20151112,1200,11.00,5.32,10.34,2.06,3.21,11.05,2.08,3.13,10.91,2.28
20151113,1200,12.80,6.41,12.08,2.36,4.00,12.89,2.38,3.83,12.71,2.60
20151114,1200,16.50,8.76,15.66,2.97,5.78,16.67,2.99,5.36,16.41,3.25
20151115,1200,20.70,11.59,19.75,3.64,8.04,20.98,3.67,7.25,20.62,3.96
20151116,1200,24.30,14.12,23.28,4.20,10.15,24.69,4.24,8.97,24.24,4.56
20151117,1200,27.40,16.36,26.32,4.68,12.08,27.88,4.72,10.53,27.35,5.07
20151118,1200,25.60,15.05,24.55,4.40,10.94,26.03,4.44,9.62,25.54,4.78
20151119,1200,21.90,12.42,20.93,3.83,8.72,22.22,3.86,7.82,21.83,4.16
20151120,1200,34.60,21.80,33.42,5.77,16.94,35.33,5.82,14.35,34.59,6.22
20151121,1200,41.60,27.34,40.35,6.80,22.12,42.58,6.87,18.32,41.64,7.31
20151122,1200,46.80,31.60,45.52,7.56,26.24,47.98,7.63,21.42,46.88,8.10
20151123,1200,56.00,39.39,54.70,8.88,34.03,57.56,8.97,27.17,56.16,9.48
20151124,1200,66.90,49.00,65.62,10.41,44.02,68.93,10.52,34.39,67.17,11.07
20151125,1200,60.60,43.40,59.31,9.53,38.15,62.35,9.62,30.17,60.80,10.15
20151126,1200,54.80,38.36,53.50,8.71,32.98,56.31,8.79,26.40,54.95,9.30
20151127,1200,51.70,35.71,50.41,8.26,30.31,53.08,8.35,24.44,51.82,8.84
20151128,1200,51.70,35.71,50.41,8.26,30.31,53.08,8.35,24.44,51.82,8.84
20151129,1200,52.00,35.97,50.71,8.31,30.57,53.39,8.39,24.63,52.12,8.88
20151130,1200,52.60,36.48,51.31,8.39,31.08,54.01,8.48,25.01,52.73,8.97
20151201,1200,52.60,36.48,51.31,8.39,31.08,54.01,8.48,25.01,52.73,8.97
20151202,1200,53.80,37.50,52.50,8.56,32.11,55.26,8.65,25.77,53.94,9.15
20151203,1200,56.00,39.39,54.70,8.88,34.03,57.56,8.97,27.17,56.16,9.48
20151204,1200,50.20,34.44,48.91,8.05,29.05,51.52,8.13,23.50,50.31,8.61
20151205,1200,43.90,29.21,42.64,7.14,23.92,44.97,7.21,19.68,43.96,7.66
20151206,1200,35.10,22.19,33.91,5.84,17.29,35.84,5.90,14.62,35.09,6.30
20151207,1200,30.60,18.74,29.47,5.17,14.17,31.19,5.21,12.19,30.57,5.58
20151208,1200,27.10,16.14,26.02,4.63,11.88,27.57,4.67,10.37,27.05,5.02
20151209,1200,22.90,13.12,21.90,3.98,9.31,23.25,4.02,8.29,22.83,4.33
20151210,1200,20.70,11.59,19.75,3.64,8.04,20.98,3.67,7.25,20.62,3.96
20151211,1200,15.80,8.31,14.98,2.85,5.43,15.96,2.88,5.06,15.71,3.13
20151212,1200,15.20,7.92,14.40,2.76,5.13,15.34,2.78,4.81,15.11,3.02
20151213,1200,15.00,7.79,14.20,2.72,5.03,15.14,2.75,4.73,14.91,2.99
20151214,1200,15.00,7.79,14.20,2.72,5.03,15.14,2.75,4.73,14.91,2.99
20151215,1200,16.80,8.96,15.95,3.02,5.94,16.98,3.04,5.50,16.71,3.30
20151216,1200,19.30,10.63,18.39,3.42,7.26,19.55,3.44,6.61,19.22,3.73
20151217,1200,23.50,13.55,22.49,4.08,9.66,23.86,4.11,8.58,23.43,4.43
20151218,1200,30.60,18.74,29.47,5.17,14.17,31.19,5.21,12.19,30.57,5.58
20151219,1200,51.10,35.20,49.81,8.18,29.80,52.45,8.26,24.07,51.22,8.75
20151220,1200,56.00,39.39,54.70,8.88,34.03,57.56,8.97,27.17,56.16,9.48
20151221,1200,49.20,33.60,47.91,7.91,28.21,50.48,7.98,22.89,49.30,8.46
20151222,1200,42.90,28.40,41.65,6.99,23.13,43.93,7.06,19.08,42.95,7.51
20151223,1200,39.70,25.82,38.47,6.52,20.67,40.61,6.58,17.22,39.72,7.01
20151224,1200,36.20,23.05,35.00,6.01,18.09,36.98,6.06,15.23,36.20,6.47
20151225,1200,34.10,21.41,32.92,5.69,16.59,34.81,5.74,14.07,34.09,6.14
20151226,1200,73.40,54.91,72.15,11.31,50.34,75.72,11.43,38.89,73.74,12.01
20151227,1200,80.70,61.68,79.51,12.31,57.74,83.36,12.45,44.09,81.12,13.04
20151228,1200,83.70,64.50,82.53,12.72,60.87,86.50,12.86,46.27,84.16,13.47
20151229,1200,77.60,58.78,76.38,11.89,54.56,80.11,12.02,41.86,77.99,12.60
20151230,1200,86.40,67.06,85.26,13.08,63.73,89.33,13.23,48.26,86.89,13.84
20151231,1200,80.40,61.40,79.20,12.27,57.43,83.04,12.40,43.87,80.82,13.00
20160101,1200,78.40,59.53,77.19,12.00,55.37,80.95,12.13,42.43,78.80,12.72
20160102,1200,70.60,52.35,69.34,10.92,47.58,72.79,11.04,36.93,70.91,11.60
20160103,1200,59.30,42.26,58.00,9.34,36.97,60.99,9.44,29.31,59.49,9.96
20160104,1200,48.40,32.93,47.12,7.79,27.55,49.64,7.87,22.39,48.49,8.34
20160105,1200,45.70,30.69,44.43,7.40,25.35,46.84,7.47,20.75,45.77,7.93
20160106,1200,32.50,20.19,31.34,5.45,15.47,33.15,5.50,13.20,32.48,5.89
20160107,1200,8.00,3.59,7.46,1.55,2.02,8.00,1.56,2.05,7.92,1.72
20160108,1200,6.90,2.99,6.41,1.36,1.63,6.89,1.36,1.68,6.82,1.51
20160109,1200,19.40,10.70,18.48,3.43,7.32,19.65,3.46,6.65,19.32,3.74
20160110,1200,53.50,37.24,52.20,8.52,31.85,54.95,8.61,25.57,53.64,9.11
20160111,1200,148.00,129.67,147.88,21.16,138.69,154.13,21.43,98.37,149.35,22.15
20160112,1200,100.00,80.22,99.01,14.91,78.72,103.59,15.08,58.56,100.66,15.73
20160113,1200,104.00,84.17,103.07,15.44,83.31,107.79,15.62,61.68,104.71,16.28
20160114,1200,87.10,67.73,85.96,13.18,64.47,90.06,13.33,48.78,87.60,13.94
20160115,1200,72.40,53.99,71.15,11.17,49.35,74.67,11.29,38.19,72.73,11.86
20160116,1200,75.40,56.75,74.17,11.58,52.33,77.81,11.71,40.30,75.76,12.29
20160117,1200,88.20,68.78,87.07,13.33,65.66,91.21,13.48,49.59,88.71,14.10
20160118,1200,77.20,58.41,75.98,11.83,54.15,79.69,11.96,41.58,77.58,12.55
20160119,1200,83.30,64.12,82.13,12.66,60.45,86.08,12.80,45.98,83.75,13.41
20160120,1200,77.80,58.97,76.58,11.91,54.76,80.32,12.04,42.00,78.19,12.63
20160121,1200,49.60,33.94,48.31,7.96,28.54,50.89,8.04,23.13,49.70,8.52
20160122,1200,37.10,23.75,35.89,6.14,18.74,37.91,6.20,15.74,37.11,6.61
20160123,1200,34.30,21.57,33.12,5.72,16.73,35.02,5.77,14.18,34.29,6.17
20160124,1200,28.80,17.40,27.70,4.89,12.98,29.33,4.94,11.25,28.76,5.29
20160125,1200,23.20,13.33,22.20,4.03,9.49,23.56,4.06,8.44,23.13,4.38
20160126,1200,20.00,11.11,19.07,3.53,7.65,20.26,3.56,6.93,19.92,3.85
20160127,1200,24.70,14.40,23.67,4.26,10.39,25.10,4.30,9.17,24.64,4.63
20160128,1200,28.50,17.18,27.40,4.85,12.79,29.02,4.89,11.09,28.45,5.25
20160129,1200,27.20,16.22,26.12,4.65,11.95,27.68,4.69,10.42,27.15,5.04
20160130,1200,26.30,15.56,25.24,4.51,11.38,26.75,4.55,9.97,26.24,4.89
20160131,1200,25.70,15.12,24.65,4.42,11.00,26.13,4.46,9.67,25.64,4.79
20160201,1200,28.90,17.47,27.80,4.91,13.05,29.43,4.95,11.30,28.86,5.31
20160202,1200,31.60,19.50,30.46,5.32,14.85,32.22,5.36,12.72,31.57,5.74
20160203,1200,29.00,17.55,27.89,4.92,13.11,29.54,4.97,11.35,28.96,5.33
20160204,1200,36.60,23.36,35.40,6.07,18.38,37.40,6.12,15.46,36.60,6.53
20160205,1200,45.70,30.69,44.43,7.40,25.35,46.84,7.47,20.75,45.77,7.93
20160206,1200,51.90,35.88,50.61,8.29,30.48,53.29,8.38,24.57,52.02,8.87
20160207,1200,49.30,33.69,48.01,7.92,28.29,50.58,8.00,22.95,49.40,8.48
20160208,1200,47.30,32.02,46.02,7.63,26.65,48.50,7.71,21.72,47.38,8.18
20160209,1200,38.10,24.54,36.88,6.29,19.48,38.95,6.35,16.30,38.11,6.77
20160210,1200,37.70,24.23,36.49,6.23,19.18,38.54,6.29,16.08,37.71,6.70
20160211,1200,32.50,20.19,31.34,5.45,15.47,33.15,5.50,13.20,32.48,5.89
20160212,1200,24.60,14.33,23.57,4.25,10.33,25.00,4.28,9.12,24.54,4.61
20160213,1200,21.00,11.79,20.05,3.69,8.21,21.29,3.72,7.39,20.92,4.01
20160214,1200,19.60,10.83,18.68,3.46,7.43,19.85,3.49,6.74,19.52,3.78
20160215,1200,28.40,17.10,27.30,4.83,12.72,28.92,4.87,11.04,28.35,5.23
20160216,1200,39.00,25.26,37.77,6.42,20.15,39.88,6.48,16.82,39.02,6.90
20160217,1200,107.00,87.16,106.11,15.84,86.81,110.95,16.03,64.05,107.75,16.69
20160218,1200,116.00,96.22,115.25,17.03,97.55,120.41,17.23,71.27,116.88,17.91
20160219,1200,107.00,87.16,106.11,15.84,86.81,110.95,16.03,64.05,107.75,16.69
20160220,1200,116.00,96.22,115.25,17.03,97.55,120.41,17.23,71.27,116.88,17.91
20160221,1200,133.00,113.77,132.56,19.24,118.86,138.31,19.48,85.40,134.12,20.18
20160222,1200,135.00,115.87,134.60,19.50,121.45,140.42,19.74,87.11,136.15,20.44
20160223,1200,122.00,102.35,121.35,17.81,104.92,126.72,18.03,76.19,122.96,18.71
20160224,1200,117.00,97.24,116.27,17.16,98.77,121.46,17.36,72.09,117.89,18.04
20160225,1200,167.00,150.33,167.33,23.57,165.10,174.20,23.88,115.40,168.65,24.61
20160226,1200,183.00,168.14,183.74,25.58,188.40,191.13,25.92,130.23,184.91,26.65
20160227,1200,163.00,145.94,163.23,23.07,159.42,169.97,23.37,111.76,164.58,24.09
20160228,1200,159.00,141.57,159.13,22.56,153.81,165.75,22.85,108.15,160.52,23.58
20160229,1200,144.00,125.40,143.79,20.65,133.31,149.91,20.91,94.87,145.29,21.62
20160301,1200,125.00,105.45,124.41,18.20,108.67,129.88,18.42,78.68,126.00,19.11
20160302,1200,126.00,106.48,125.43,18.33,109.93,130.94,18.55,79.51,127.02,19.25
20160303,1200,132.00,112.72,131.54,19.11,117.57,137.26,19.34,84.56,133.11,20.04
20160304,1200,114.00,94.19,113.22,16.76,95.13,118.31,16.96,69.65,114.85,17.64
20160305,1200,101.00,81.21,100.02,15.04,79.86,104.64,15.22,59.34,101.67,15.87
20160306,1200,92.00,72.43,90.91,13.84,69.78,95.20,14.00,52.44,92.56,14.63
20160307,1200,76.20,57.49,74.97,11.69,53.14,78.65,11.82,40.86,76.57,12.41
20160308,1200,55.90,39.31,54.60,8.86,33.94,57.45,8.95,27.11,56.06,9.46
20160309,1200,49.40,33.77,48.11,7.93,28.38,50.68,8.01,23.01,49.50,8.49
20160310,1200,47.20,31.93,45.92,7.62,26.57,48.40,7.69,21.66,47.28,8.16
20160311,1200,71.20,52.89,69.94,11.01,48.17,73.42,11.12,37.35,71.52,11.69
20160312,1200,73.10,54.63,71.85,11.27,50.04,75.40,11.39,38.68,73.44,11.96
20160313,1200,64.30,46.67,63.01,10.05,41.56,66.21,10.15,32.63,64.54,10.69
20160314,1200,57.00,40.26,55.70,9.02,34.91,58.60,9.11,27.82,57.17,9.62
20160315,1200,87.50,68.11,86.37,13.23,64.90,90.48,13.38,49.07,88.00,14.00
20160316,1200,143.00,124.33,142.77,20.52,131.97,148.86,20.78,94.00,144.27,21.49
20160317,1200,148.00,129.67,147.88,21.16,138.69,154.13,21.43,98.37,149.35,22.15
20160318,1200,165.00,148.13,165.28,23.32,162.25,172.09,23.62,113.57,166.61,24.35
20160319,1200,154.00,136.14,154.01,21.93,146.87,160.47,22.21,103.67,155.44,22.93
20160320,1200,135.00,115.87,134.60,19.50,121.45,140.42,19.74,87.11,136.15,20.44
20160321,1200,124.00,104.41,123.39,18.07,107.42,128.83,18.29,77.84,124.99,18.98
20160322,1200,123.00,103.38,122.37,17.94,106.17,127.78,18.16,77.02,123.98,18.85
20160323,1200,121.00,101.33,120.34,17.68,103.68,125.67,17.89,75.36,121.95,18.58
20160324,1200,121.00,101.33,120.34,17.68,103.68,125.67,17.89,75.36,121.95,18.58
20160325,1200,115.00,95.21,114.23,16.89,96.34,119.36,17.10,70.46,115.86,17.77
20160326,1200,109.00,89.16,108.14,16.10,89.16,113.05,16.29,65.64,109.78,16.96
20160327,1200,99.30,79.53,98.30,14.82,77.93,102.86,14.99,58.02,99.95,15.63
